season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon
31,4,2,Selma Blair,Sasha Farber,6,,,,,0,0.1
31,4,3,Joseph Baena,Daniella Karagach,11,,,,,0,0.1
31,4,4,Trevor Donovan,Emma Slater,11,,,,,0,0.1
31,4,5,Daniel Durant,Britt Stewart,9,,,,,0,0.1
31,4,6,Wayne Brady,Witney Carson,1,,,,,0,0.1
31,4,7,Sam Champion,Cheryl Burke,13,,,,,1,0.1
31,4,8,Jessie James Decker,Alan Bersten,8,,,,,0,0.1
31,4,9,Jordin Sparks,Brandon Armstrong,4,,,,,0,0.1
31,4,10,Heidi D'Amelio,Artem Chigvintsev,4,,,,,0,0.1
31,4,11,Charli D'Amelio,Mark Ballas,1,,,,,0,0.1
31,4,13,Vinny Guadagnino,Koko Iwasaki,9,,,,,0,0.1
31,4,14,Shangela,Gleb Savchenko,6,,,,,0,0.1
31,4,15,Gabby Windey,Valentin Chmerkovskiy,1,,,,,0,0.1
31,5,2,Selma Blair,Sasha Farber,4,,,,,0,0.1
31,5,3,Joseph Baena,Daniella Karagach,10,,,,,1,0.1
31,5,4,Trevor Donovan,Emma Slater,7,,,,,0,0.1
31,5,5,Daniel Durant,Britt Stewart,11,,,,,0,0.1
31,5,6,Wayne Brady,Witney Carson,2,,,,,0,0.1
31,5,8,Jessie James Decker,Alan Bersten,7,,,,,0,0.1
31,5,9,Jordin Sparks,Brandon Armstrong,9,,,,,0,0.1
31,5,10,Heidi D'Amelio,Artem Chigvintsev,5,,,,,0,0.1
31,5,11,Charli D'Amelio,Mark Ballas,1,,,,,0,0.1
31,5,13,Vinny Guadagnino,Koko Iwasaki,12,,,,,0,0.1
31,5,14,Shangela,Gleb Savchenko,6,,,,,0,0.1
31,5,15,Gabby Windey,Valentin Chmerkovskiy,2,,,,,0,0.1
31,6,4,Trevor Donovan,Emma Slater,5,,,,,0,0.1
31,6,5,Daniel Durant,Britt Stewart,5,,,,,0,0.1
31,6,6,Wayne Brady,Witney Carson,5,,,,,0,0.1
31,6,8,Jessie James Decker,Alan Bersten,9,,,,,1,0.1
31,6,9,Jordin Sparks,Brandon Armstrong,5,,,,,0,0.1
31,6,10,Heidi D'Amelio,Artem Chigvintsev,3,,,,,0,0.1
31,6,11,Charli D'Amelio,Mark Ballas,1,,,,,0,0.1
31,6,13,Vinny Guadagnino,Koko Iwasaki,10,,,,,0,0.1
31,6,14,Shangela,Gleb Savchenko,3,,,,,0,0.1
31,6,15,Gabby Windey,Valentin Chmerkovskiy,2,,,,,0,0.1
