season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon
32,10,3,Alyson Hannigan,Sasha Farber,5,,,,,0,0.1
32,10,4,Xochitl Gomez,Valentin Chmerkovskiy,1,,,,,0,0.1
32,10,8,Jason Mraz,Daniella Karagach,4,,,,,0,0.1
32,10,12,Charity Lawson,Artem Chigvintsev,2,,,,,0,0.1
32,10,13,Ariana Madix,Pasha Pashkov,3,,,,,0,0.1
32,11,3,Alyson Hannigan,Sasha Farber,5,,,,,0,0.1
32,11,4,Xochitl Gomez,Valentin Chmerkovskiy,1,,,,,0,0.1
32,11,8,Jason Mraz,Daniella Karagach,1,,,,,0,0.1
32,11,12,Charity Lawson,Artem Chigvintsev,3,,,,,0,0.1
32,11,13,Ariana Madix,Pasha Pashkov,3,,,,,0,0.1
