season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon
2,1,0,Tatum O'Neal,Nick Kosovich,2,2,3,4,5,0,0.01
2,1,1,Tia Carrere,Maksim Chmerkoskiy,6,6,6,12,12,0,0.01
2,1,2,George Hamilton,Edyta Sliwinska,8,9,9,17,17,0,0.01
2,1,3,Lisa Rinna,Louis van Amstel,7,7,7,14,14,0,0.01
2,1,4,Stacy Keibler,Tony Dovolani,4,4,4,8,8,0,0.01
2,1,5,Jerry Rice,Anna Trebunskaya,5,5,5,10,10,0,0.01
2,1,6,Giselle Fernandez,Jonathan Roberts,2,2,3,4,5,0,0.01
2,1,7,Master P,Ashly DelGrosso,10,8,8,18,18,0,0.01
2,1,8,Drew Lachey,Cheryl Burke,1,1,1,2,2,0,0.01
2,1,9,Kenny Mayne,Andrea Hale,9,10,10,19,19,1,0.01
2,2,0,Tatum O'Neal,Nick Kosovich,8,9,9,17,17,1,0.01
2,2,1,Tia Carrere,Maksim Chmerkoskiy,5,5,6,10,11,0,0.01
2,2,2,George Hamilton,Edyta Sliwinska,5,5,6,10,11,0,0.01
2,2,3,Lisa Rinna,Louis van Amstel,7,8,8,15,15,0,0.01
2,2,4,Stacy Keibler,Tony Dovolani,1,1,1,2,2,0,0.01
2,2,5,Jerry Rice,Anna Trebunskaya,4,4,4,8,8,0,0.01
2,2,6,Giselle Fernandez,Jonathan Roberts,3,3,3,6,6,0,0.01
2,2,7,Master P,Ashly DelGrosso,9,7,7,16,16,0,0.01
2,2,8,Drew Lachey,Cheryl Burke,2,2,2,4,4,0,0.01
2,3,1,Tia Carrere,Maksim Chmerkoskiy,3,3,3,6,6,0,0.01
2,3,2,George Hamilton,Edyta Sliwinska,5,7,7,12,12,0,0.01
2,3,3,Lisa Rinna,Louis van Amstel,4,6,6,10,10,0,0.01
2,3,4,Stacy Keibler,Tony Dovolani,1,1,2,2,3,0,0.01
2,3,5,Jerry Rice,Anna Trebunskaya,7,5,5,12,12,0,0.01
2,3,6,Giselle Fernandez,Jonathan Roberts,5,8,8,13,13,1,0.01
2,3,7,Master P,Ashly DelGrosso,8,4,4,12,12,0,0.01
2,3,8,Drew Lachey,Cheryl Burke,1,1,2,2,3,0,0.01
