season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon
34,10,2,Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),4,,,,,0,0.01
34,10,4,Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),4,,,,,0,0.01
34,10,6,Robert Irwin,Witney Carson (Xoshitl Gomez week 9),1,,,,,0,0.01
34,10,10,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),2,,,,,0,0.01
34,10,12,Whitney Leavitt,Mark Ballas,2,,,,,1,0.01
34,10,13,Dylan Efron,Daniella Karagach (Rumer Willis week 9),6,,,,,0,0.01
34,11,2,Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),5,,,,,0,0.01
34,11,4,Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),2,,,,,0,0.01
34,11,6,Robert Irwin,Witney Carson (Xoshitl Gomez week 9),2,,,,,0,0.01
34,11,10,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),1,,,,,0,0.01
34,11,13,Dylan Efron,Daniella Karagach (Rumer Willis week 9),4,,,,,0,0.01
