season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon
2,4,1,Tia Carrere,Maksim Chmerkoskiy,4,3,6,7,10,0,0.1
2,4,2,George Hamilton,Edyta Sliwinska,6,4,6,10,12,0,0.1
2,4,3,Lisa Rinna,Louis van Amstel,2,1,4,3,6,0,0.1
2,4,4,Stacy Keibler,Tony Dovolani,2,1,4,3,6,0,0.1
2,4,5,Jerry Rice,Anna Trebunskaya,5,4,7,9,12,0,0.1
2,4,7,Master P,Ashly DelGrosso,7,6,7,13,14,1,0.1
2,4,8,Drew Lachey,Cheryl Burke,1,1,3,2,4,0,0.1
2,5,1,Tia Carrere,Maksim Chmerkoskiy,6,5,6,11,12,1,0.1
2,5,2,George Hamilton,Edyta Sliwinska,4,3,6,7,10,0,0.1
2,5,3,Lisa Rinna,Louis van Amstel,3,1,5,4,8,0,0.1
2,5,4,Stacy Keibler,Tony Dovolani,1,1,3,2,4,0,0.1
2,5,5,Jerry Rice,Anna Trebunskaya,5,3,5,8,10,0,0.1
2,5,8,Drew Lachey,Cheryl Burke,2,1,3,3,5,0,0.1
2,6,2,George Hamilton,Edyta Sliwinska,4,5,5,9,9,1,0.1
2,6,3,Lisa Rinna,Louis van Amstel,3,2,4,5,7,0,0.1
2,6,4,Stacy Keibler,Tony Dovolani,1,1,3,2,4,0,0.1
2,6,5,Jerry Rice,Anna Trebunskaya,4,3,4,7,8,0,0.1
2,6,8,Drew Lachey,Cheryl Burke,1,1,3,2,4,0,0.1
