season,week,contestant_id,celebrity_name,ballroom_partner,judge_rank,fan_rank_min,fan_rank_max,combined_rank_min,combined_rank_max,actual_eliminated,epsilon
33,1,0,Tori Spelling,Pasha Pashkov,11,,,,,0,0.05
33,1,1,Eric Roberts,Britt Stewart,13,,,,,0,0.05
33,1,2,Reginald VelJohnson,Emma Slater,12,,,,,0,0.05
33,1,3,Chandler Kinney,Brandon Armstrong,1,,,,,0,0.05
33,1,4,Dwight Howard?,Daniella Karagach,2,,,,,0,0.05
33,1,5,Danny Amendola,Witney Carson,5,,,,,0,0.05
33,1,6,Stephen Nedoroscik,Rylee Arnold,3,,,,,0,0.05
33,1,7,Ilona Maher,Alan Bersten,8,,,,,0,0.05
33,1,8,Anna Delvey,Ezra Sosa,8,,,,,0,0.05
33,1,9,Brooks Nader,Gleb Savchenko,8,,,,,0,0.05
33,1,10,Phaedra Parks,Val Chmerkovskiy,6,,,,,0,0.05
33,1,11,Jenn Tran,Sasha Farber,6,,,,,0,0.05
33,1,12,Joey Graziadei,Jenna Johnson,3,,,,,0,0.05
33,2,0,Tori Spelling,Pasha Pashkov,9,,,,,1,0.05
33,2,1,Eric Roberts,Britt Stewart,12,,,,,0,0.05
33,2,2,Reginald VelJohnson,Emma Slater,12,,,,,0,0.05
33,2,3,Chandler Kinney,Brandon Armstrong,1,,,,,0,0.05
33,2,4,Dwight Howard?,Daniella Karagach,2,,,,,0,0.05
33,2,5,Danny Amendola,Witney Carson,5,,,,,0,0.05
33,2,6,Stephen Nedoroscik,Rylee Arnold,2,,,,,0,0.05
33,2,7,Ilona Maher,Alan Bersten,5,,,,,0,0.05
33,2,8,Anna Delvey,Ezra Sosa,11,,,,,1,0.05
33,2,9,Brooks Nader,Gleb Savchenko,8,,,,,0,0.05
33,2,10,Phaedra Parks,Val Chmerkovskiy,5,,,,,0,0.05
33,2,11,Jenn Tran,Sasha Farber,9,,,,,0,0.05
33,2,12,Joey Graziadei,Jenna Johnson,2,,,,,0,0.05
33,3,1,Eric Roberts,Britt Stewart,10,,,,,1,0.05
33,3,2,Reginald VelJohnson,Emma Slater,11,,,,,1,0.05
33,3,3,Chandler Kinney,Brandon Armstrong,2,,,,,0,0.05
33,3,4,Dwight Howard?,Daniella Karagach,9,,,,,0,0.05
33,3,5,Danny Amendola,Witney Carson,6,,,,,0,0.05
33,3,6,Stephen Nedoroscik,Rylee Arnold,3,,,,,0,0.05
33,3,7,Ilona Maher,Alan Bersten,7,,,,,0,0.05
33,3,9,Brooks Nader,Gleb Savchenko,5,,,,,0,0.05
33,3,10,Phaedra Parks,Val Chmerkovskiy,7,,,,,0,0.05
33,3,11,Jenn Tran,Sasha Farber,3,,,,,0,0.05
33,3,12,Joey Graziadei,Jenna Johnson,1,,,,,0,0.05
