season,week,jterm,smooth,slack
1,1,6,0,0
1,2,18,10,0
1,3,0,10,0
1,4,18,14,0
1,5,0,6,0
1,6,0,2,0
2,1,7,0,0
2,2,7,60,0
2,3,38,46,0
2,4,1,20,0
2,5,0,10,0
2,6,2,4,0
2,7,9,6,0
2,8,0,2,0
28,1,3,0,0
28,2,21,148,0
28,3,3,46,0
28,4,15,76,0
28,5,2,24,0
28,6,265,124,4
28,7,23,80,0
28,8,18,16,0
28,9,0,32,0
28,10,1,6,0
28,11,0,0,0
29,1,32,0,0
29,2,58,252,0
29,3,8,164,0
29,4,47,166,0
29,5,34,54,0
29,6,21,110,0
29,7,10,238,0
29,8,38,21,0
29,9,8,40,0
29,10,26,26,2
29,11,5,6,0
30,1,17,0,0
30,2,10,116,0
30,3,257,162,0
30,4,7,126,2
30,5,357,226,0
30,6,8,46,0
30,7,6,82,0
30,8,11,108,2
30,9,27,48,2
30,10,1,8,0
31,1,21,0,0
31,2,17,102,0
31,3,12,98,0
31,4,9,54,0
31,5,20,64,0
31,6,27,33,0
31,7,8,58,0
31,8,4,16,2
31,9,4,6,2
31,10,2,0,0
32,1,8,0,0
32,2,70,72,0
32,3,3,30,0
32,4,105,50,0
32,5,45,18,0
32,6,38,30,0
32,7,122,64,0
32,8,18,66,0
32,9,0,30,0
32,10,0,12,0
32,11,2,6,0
33,1,7,0,0
33,2,60,64,2
33,3,6,104,2
33,4,93,68,0
33,5,7,58,0
33,6,71,20,0
33,7,0,18,0
33,8,1,6,0
33,9,1,6,0
34,1,22,0,0
34,2,49,80,2
34,3,9,129,0
34,4,189,118,0
34,5,3,142,0
34,6,15,96,0
34,7,19,56,0
34,8,7,10,0
34,9,5,30,0
34,10,64,36,0
34,11,1,30,0
