season,week,jterm,smooth,slack
1,1,6,0,0
1,2,18,10,0
1,3,0,10,0
1,4,18,14,0
1,5,0,6,0
1,6,0,2,0
2,1,7,0,0
2,2,7,60,0
2,3,38,44,0
2,4,1,22,0
2,5,0,10,0
2,6,2,4,0
2,7,9,6,0
2,8,2,0,0
28,1,3,0,0
28,2,23,132,0
28,3,3,48,0
28,4,15,76,0
28,5,2,30,0
28,6,77,48,17
28,7,23,52,0
28,8,20,8,0
28,9,0,26,0
28,10,1,6,0
28,11,8,8,0
29,1,46,0,0
29,2,64,138,0
29,3,10,146,0
29,4,55,122,0
29,5,34,34,0
29,6,31,74,0
29,7,12,202,0
29,8,38,14,0
29,9,8,28,0
29,10,26,34,2
29,11,23,2,0
30,1,17,0,0
30,2,12,88,0
30,3,77,62,12
30,4,7,28,2
30,5,91,52,18
30,6,12,88,0
30,7,10,70,0
30,8,11,92,2
30,9,27,44,2
30,10,3,12,0
31,1,23,0,0
31,2,23,64,0
31,3,12,74,0
31,4,9,54,0
31,5,20,66,0
31,6,27,33,0
31,7,8,58,0
31,8,4,16,2
31,9,4,6,2
31,10,2,0,0
32,1,8,0,0
32,2,54,84,1
32,3,3,44,0
32,4,75,28,2
32,5,21,12,2
32,6,38,40,0
32,7,52,36,5
32,8,18,34,0
32,9,2,24,0
32,10,0,6,0
32,11,2,8,0
33,1,7,0,0
33,2,44,50,3
33,3,6,86,2
33,4,53,26,4
33,5,7,22,0
33,6,43,10,2
33,7,0,2,0
33,8,1,8,0
33,9,19,14,0
34,1,22,0,0
34,2,49,80,2
34,3,9,129,0
34,4,69,52,8
34,5,3,50,0
34,6,15,96,0
34,7,21,46,0
34,8,7,6,0
34,9,5,26,0
34,10,42,26,2
34,11,3,14,0
