season,week,celebrity_name,judge_percent,fan_vote_percent,total_percent,eliminated,is_finale,solve_status,confidence
3,1,Harry Hamlin,0.0802,0.09090909090909091,0.1711090909090909,False,False,optimal,0.6704011598088685
3,1,Vivica A. Fox,0.1038,0.09090909090909091,0.19470909090909091,False,False,optimal,0.6704011598088685
3,1,Monique Coleman,0.0896,0.09090909090909091,0.1805090909090909,False,False,optimal,0.6704011598088685
3,1,Joey Lawrence,0.0991,0.09090909090909091,0.1900090909090909,False,False,optimal,0.6704011598088685
3,1,Mario Lopez,0.1226,0.09090909090909091,0.21350909090909093,False,False,optimal,0.6704011598088685
3,1,Emmitt Smith,0.1132,0.09090909090909091,0.2041090909090909,False,False,optimal,0.6704011598088685
3,1,Shanna Moakler,0.0849,0.09090909090909091,0.17580909090909091,False,False,optimal,0.6704011598088685
3,1,Willa Ford,0.1038,0.09090909090909091,0.19470909090909091,False,False,optimal,0.6704011598088685
3,1,Sara Evans,0.0708,0.09090909090909091,0.1617090909090909,False,False,optimal,0.6704011598088685
3,1,Jerry Springer,0.0755,0.09090909090909091,0.1664090909090909,False,False,optimal,0.6704011598088685
3,1,Tucker Carlson,0.0566,0.09090909090909091,0.14750909090909092,True,False,optimal,0.6704011598088685
3,2,Harry Hamlin,0.0913,0.09999999999999987,0.19129999999999986,False,False,optimal,0.5124973964842103
3,2,Vivica A. Fox,0.1043,0.09999999999999991,0.20429999999999993,False,False,optimal,0.5124973964842103
3,2,Monique Coleman,0.113,0.10000000000000009,0.21300000000000008,False,False,optimal,0.5124973964842103
3,2,Joey Lawrence,0.1261,0.09999999999999998,0.22609999999999997,False,False,optimal,0.5124973964842103
3,2,Mario Lopez,0.0913,0.10000000000000009,0.19130000000000008,False,False,optimal,0.5124973964842103
3,2,Emmitt Smith,0.1043,0.09999999999999987,0.20429999999999987,False,False,optimal,0.5124973964842103
3,2,Shanna Moakler,0.0957,0.09295000000000003,0.18865000000000004,True,False,optimal,0.5124973964842103
3,2,Willa Ford,0.1,0.10000000000000016,0.20000000000000018,False,False,optimal,0.5124973964842103
3,2,Sara Evans,0.0913,0.1,0.19130000000000003,False,False,optimal,0.5124973964842103
3,2,Jerry Springer,0.0826,0.10705000000000002,0.18965000000000004,False,False,optimal,0.5124973964842103
3,3,Harry Hamlin,0.1063,0.10336111111111095,0.20966111111111096,True,False,optimal,0.5124973964842103
3,3,Vivica A. Fox,0.1304,0.11111111111111104,0.241511111111111,False,False,optimal,0.5124973964842103
3,3,Monique Coleman,0.1304,0.11111111111111124,0.24151111111111123,False,False,optimal,0.5124973964842103
3,3,Joey Lawrence,0.1063,0.1111111111111112,0.21741111111111122,False,False,optimal,0.5124973964842103
3,3,Mario Lopez,0.1063,0.11111111111111152,0.21741111111111153,False,False,optimal,0.5124973964842103
3,3,Emmitt Smith,0.0918,0.11886111111111096,0.21066111111111097,False,False,optimal,0.5124973964842103
