season,week,celebrity_name,judge_percent,fan_vote_percent,total_percent,fan_vote_min,fan_vote_max,interval_width,eliminated,solve_status
3,1,Harry Hamlin,0.0802,0.005412901191962458,0.08561290119196245,9.039220906341379e-11,0.9999999997155818,0.9999999996251896,False,optimal
3,1,Vivica A. Fox,0.1038,1.408107571515549e-17,0.10380000000000002,5.372114437699756e-12,0.9999999996853034,0.9999999996799313,False,optimal
3,1,Monique Coleman,0.0896,0.0007750056341199677,0.09037500563411997,3.929780082121703e-11,0.9999999996913366,0.9999999996520388,False,optimal
3,1,Joey Lawrence,0.0991,0.008763965955965201,0.1078639659559652,1.0796202581499176e-11,0.9999999996856385,0.9999999996748422,False,optimal
3,1,Mario Lopez,0.1226,0.47337451566124417,0.5959745156612442,2.042195722987667e-13,0.9999999996852863,0.9999999996850821,False,optimal
3,1,Emmitt Smith,0.1132,0.47337451566126626,0.5865745156612663,1.167207204919832e-12,0.9999999996853048,0.9999999996841377,False,optimal
3,1,Shanna Moakler,0.0849,1.0401564592282808e-18,0.0849,6.249377635152792e-11,0.9999999996999478,0.999999999637454,False,optimal
3,1,Willa Ford,0.1038,0.003232311798586025,0.10703231179858602,5.372114437722781e-12,0.9999999996852774,0.9999999996799053,False,optimal
3,1,Sara Evans,0.0708,0.020150754857774563,0.09095075485777457,1.657172530049686e-10,0.9999999998210174,0.9999999996553002,False,optimal
3,1,Jerry Springer,0.0755,0.014795647278408625,0.09029564727840862,1.2547587316637552e-10,0.9999999997407463,0.9999999996152704,False,optimal
3,1,Tucker Carlson,0.0566,0.00012038196067269704,0.056720381960672694,2.3959998857662896e-11,0.12431818179314641,0.12431818176918641,True,optimal
3,2,Harry Hamlin,0.0913,0.005399999999999992,0.0967,0.005400000064067175,0.9751000000135024,0.9696999999494352,False,optimal
3,2,Vivica A. Fox,0.1043,0.0,0.1043,2.1915255561581655e-10,0.9697000000097199,0.9696999997905673,False,optimal
3,2,Monique Coleman,0.113,0.0004818362905723104,0.11348183629057232,1.3593657700525436e-10,0.9697000000027918,0.9696999998668552,False,optimal
3,2,Joey Lawrence,0.1261,0.00902414018638357,0.13512414018638355,4.870600502242835e-11,0.969700000002091,0.969699999953385,False,optimal
3,2,Mario Lopez,0.0913,0.47369509701671514,0.5649950970167151,0.005400000064067174,0.9751000000135019,0.9696999999494348,False,optimal
3,2,Emmitt Smith,0.1043,0.47369509701664964,0.5779950970166496,2.1915255561655215e-10,0.969700000009719,0.9696999997905664,False,optimal
3,2,Shanna Moakler,0.0957,7.07713015287053e-18,0.09570000000000001,8.098505185172154e-11,0.10338999997560364,0.10338999989461858,True,optimal
3,2,Willa Ford,0.1,0.0028945704743210936,0.1028945704743211,6.13787616141313e-10,0.9697000000065261,0.9696999993927385,False,optimal
3,2,Sara Evans,0.0913,0.020049306744573052,0.11134930674457305,0.005400000064067168,0.9751000000134941,0.9696999999494269,False,optimal
3,2,Jerry Springer,0.0826,0.014759952270785416,0.09735995227078542,0.014099999995023888,0.983800010320309,0.9697000103252851,False,optimal
3,3,Harry Hamlin,0.1063,0.002369661587536872,0.10866966158753688,2.8755637467101852e-11,0.11503333315994574,0.1150333331311901,True,optimal
3,3,Vivica A. Fox,0.1304,1.6118770785383432e-16,0.13040000000000015,7.382108317945179e-11,0.9756000007374744,0.9756000006636534,False,optimal
3,3,Monique Coleman,0.1304,0.0004790871743318495,0.13087908717433183,7.382108317907444e-11,0.9756000007374235,0.9756000006636024,False,optimal
3,3,Joey Lawrence,0.1063,0.00983075964306322,0.11613075964306323,0.0010000000010049284,0.9766000003841872,0.9756000003831822,False,optimal
3,3,Mario Lopez,0.1063,0.47402206858012175,0.5803220685801218,0.0010000000010049286,0.9766000003841965,0.9756000003831915,False,optimal
3,3,Emmitt Smith,0.0918,0.4740220685802218,0.5658220685802218,0.015500000063421813,0.9911000005209419,0.9756000004575202,False,optimal
3,3,Willa Ford,0.1063,0.0033696615875368715,0.10966966158753688,0.001000000001004929,0.9766000003842364,0.9756000003832315,False,optimal
3,3,Sara Evans,0.1208,0.020438628248712978,0.14123862824871297,1.5539591130895964e-10,0.975600000725386,0.9756000005699901,False,optimal
3,3,Jerry Springer,0.1014,0.01546806459847457,0.11686806459847457,0.005900000025474085,0.9815000005883986,0.9756000005629245,False,optimal
3,4,Vivica A. Fox,0.1212,0.0,0.1212,8.507095584552596e-12,0.12792499986358757,0.1279249998550805,True,optimal
3,4,Monique Coleman,0.1212,0.0010000000000000046,0.1222,0.0010000000003792108,0.9667000014566628,0.9657000014562835,False,optimal
3,4,Joey Lawrence,0.1364,0.010720319463105178,0.14712031946310516,1.2994462932110306e-10,0.9657000003061325,0.9657000001761878,False,optimal
3,4,Mario Lopez,0.1465,0.47468537934098964,0.6211853793409896,4.986660457533382e-11,0.9657000003449839,0.9657000002951174,False,optimal
3,4,Emmitt Smith,0.1212,0.4746853793408643,0.5958853793408643,0.001000000000379211,0.9667000014566456,0.9657000014562663,False,optimal
3,4,Willa Ford,0.1414,0.0011176725761483136,0.1425176725761483,8.333296090530264e-11,0.965700000323555,0.965700000240222,False,optimal
3,4,Sara Evans,0.10099999999999999,0.02120000000000001,0.1222,0.02120000000287356,0.9869000004002408,0.9657000003973673,False,optimal
3,4,Jerry Springer,0.1111,0.016591249278892564,0.12769124927889258,0.011100000039609426,0.9768000004226631,0.9657000003830537,False,optimal
3,5,Monique Coleman,0.1492,0.0010000000000000078,0.1502,0.0010000000002944771,0.9507000006342488,0.9497000006339543,False,optimal
3,5,Joey Lawrence,0.1381,0.012100000000000005,0.1502,0.012100000015188529,0.9618000000654111,0.9497000000502226,False,optimal
3,5,Mario Lopez,0.1492,0.47584999999993216,0.6250499999999322,0.0010000000002944767,0.9507000006342591,0.9497000006339646,False,optimal
3,5,Emmitt Smith,0.1492,0.4758500000000679,0.6250500000000678,0.001000000000294477,0.9507000006342493,0.9497000006339549,False,optimal
3,5,Willa Ford,0.1492,6.5334602244494105e-18,0.1492,2.4142394041898702e-12,0.13567142855605174,0.1356714285536375,True,optimal
3,5,Sara Evans,0.1326,0.0176,0.1502,0.017600012923464536,0.9673000004348266,0.949699987511362,False,optimal
