season,week,celebrity_name,judge_percent,fan_vote_percent,total_percent,smoothness,n_weeks,week_entropy,eliminated,solve_status
3,1,Harry Hamlin,0.0802,0.053319793905236744,0.13351979390523674,1.6950113894521036e-06,3,2.184163756979959,False,optimal
3,1,Vivica A. Fox,0.1038,0.051072035838332565,0.15487203583833256,1.7880396603408547e-06,4,2.184163756979959,False,optimal
3,1,Monique Coleman,0.0896,0.07788458140643452,0.16748458140643452,5.73975045474411e-05,8,2.184163756979959,False,optimal
3,1,Joey Lawrence,0.0991,0.08032734021913042,0.17942734021913043,5.2557460698743306e-05,9,2.184163756979959,False,optimal
3,1,Mario Lopez,0.1226,0.22860640638993573,0.3512064063899357,0.001116842446347689,10,2.184163756979959,False,optimal
3,1,Emmitt Smith,0.1132,0.2286064911821232,0.3418064911821232,0.0011168447017968904,10,2.184163756979959,False,optimal
3,1,Shanna Moakler,0.0849,0.04840329076698354,0.13330329076698355,1.534974892326745e-06,2,2.184163756979959,False,optimal
3,1,Willa Ford,0.1038,0.05396233431141646,0.15776233431141645,1.0052266026969248e-05,5,2.184163756979959,False,optimal
3,1,Sara Evans,0.0708,0.0647910222428151,0.1355910222428151,1.3423460741001665e-05,5,2.184163756979959,False,optimal
3,1,Jerry Springer,0.0755,0.07524439299138806,0.15074439299138806,6.597081809760207e-05,7,2.184163756979959,False,optimal
3,1,Tucker Carlson,0.0566,0.037782310746203536,0.09438231074620354,0.0,1,2.184163756979959,True,optimal
3,2,Harry Hamlin,0.0913,0.05504223180364628,0.14634223180364628,1.6950113894521036e-06,3,2.1019501091274093,False,optimal
3,2,Vivica A. Fox,0.1043,0.05257949761554624,0.15687949761554626,1.7880396603408547e-06,4,2.1019501091274093,False,optimal
3,2,Monique Coleman,0.113,0.0815014841229928,0.19450148412299278,5.73975045474411e-05,8,2.1019501091274093,False,optimal
3,2,Joey Lawrence,0.1261,0.08409918379080497,0.21019918379080496,5.2557460698743306e-05,9,2.1019501091274093,False,optimal
3,2,Mario Lopez,0.0913,0.23760721170165236,0.3289072117016524,0.001116842446347689,10,2.1019501091274093,False,optimal
3,2,Emmitt Smith,0.1043,0.23760728839464582,0.3419072883946458,0.0011168447017968904,10,2.1019501091274093,False,optimal
3,2,Shanna Moakler,0.0957,0.0496422318036462,0.1453422318036462,1.534974892326745e-06,2,2.1019501091274093,True,optimal
3,2,Willa Ford,0.1,0.05574441272498144,0.15574441272498146,1.0052266026969248e-05,5,2.1019501091274093,False,optimal
3,2,Sara Evans,0.0913,0.06748768659589562,0.15878768659589562,1.3423460741001665e-05,5,2.1019501091274093,False,optimal
3,2,Jerry Springer,0.0826,0.07868877144618824,0.16128877144618825,6.597081809760207e-05,7,2.1019501091274093,False,optimal
3,3,Harry Hamlin,0.1063,0.05569279345716326,0.16199279345716328,1.6950113894521036e-06,3,1.994570213654896,True,optimal
