season,week,celebrity_name,judge_percent,fan_vote_percent,total_percent,fan_vote_min,fan_vote_max,interval_width,smoothness,n_weeks,week_entropy,eliminated,solve_status,fan_vote_mean_b,fan_vote_var_b,fan_vote_std_b,fan_vote_ci_lower,fan_vote_ci_upper,n_bootstrap
3,1,Harry Hamlin,0.0802,0.0432719600998346,0.1234719600998346,0.0,1.0,1.0,9.662706007232874e-07,3,2.044524992659272,False,optimal,0.04278439411737359,2.6160483660325942e-05,0.005114732022337626,0.03200106520832558,0.052163696040013176,1000
3,1,Vivica A. Fox,0.1038,0.040528896534495,0.144328896534495,0.0,1.0,1.0,1.1569532419324043e-06,4,2.044524992659272,False,optimal,0.041979035140989815,2.4271862154481432e-05,0.0049266481662973895,0.03300411485796947,0.05008476642778168,1000
3,1,Monique Coleman,0.0896,0.0671205905160805,0.1567205905160805,0.0,1.0,1.0,3.676128959904968e-05,8,2.044524992659272,False,optimal,0.06684248281365607,9.824555152254598e-07,0.0009911889402255555,0.06351292403369437,0.06770725289243662,1000
3,1,Joey Lawrence,0.0991,0.0695407885342,0.1686407885342,0.0,1.0,1.0,3.319285307204348e-05,9,2.044524992659272,False,optimal,0.07006911936544946,1.1421391194760323e-06,0.0010687090901999629,0.06918988372243395,0.07350569806044635,1000
3,1,Mario Lopez,0.1226,0.2742237812647911,0.396823781264791,0.0,1.0,1.0,0.000770185576546,10,2.044524992659272,False,optimal,0.2721655424018664,8.456887897470381e-06,0.0029080728837961372,0.2644276554844843,0.2746272414379855,1000
3,1,Emmitt Smith,0.1132,0.2742229320860858,0.3874229320860858,0.0,1.0,1.0,0.0007701903419957,10,2.044524992659272,False,optimal,0.27610115630071946,8.449494143927724e-06,0.0029068013595579117,0.27353783061873116,0.2839787078771569,1000
3,1,Shanna Moakler,0.0849,0.0392012438678472,0.1241012438678472,0.0,1.0,1.0,8.804644973214205e-07,2,2.044524992659272,False,optimal,0.03325750168423367,3.535455124742169e-05,0.005945969327823823,0.02003422646815922,0.03946221876111847,1000
3,1,Willa Ford,0.1038,0.0432295260635579,0.1470295260635579,0.0,1.0,1.0,6.950088545445545e-06,5,2.044524992659272,False,optimal,0.045017173266813995,2.151730738033211e-05,0.004638675175126203,0.03772768396887577,0.05572223441913962,1000
3,1,Sara Evans,0.0708,0.0545586160952279,0.1253586160952279,0.0,1.0,1.0,9.68876327057039e-06,5,2.044524992659272,False,optimal,0.05725099797950049,2.426197539106112e-05,0.004925644667559884,0.04834819320673979,0.06760278319500736,1000
3,1,Jerry Springer,0.0755,0.0645184916851632,0.1400184916851632,0.0,1.0,1.0,4.266014540243752e-05,7,2.044524992659272,False,optimal,0.0652225685772521,3.264796623138946e-06,0.0018068748222106992,0.06412870862292629,0.07102211456034113,1000
