season,week,celebrity_name,judge_percent,fan_vote_percent,total_percent,fan_vote_min,fan_vote_max,interval_width,smoothness,n_weeks,week_entropy,eliminated,solve_status
3,1,Harry Hamlin,0.0802,0.043271960099834667,0.12347196009983466,0.0,1.0,1.0,9.662706007232874e-07,3,2.044524992659272,False,optimal
3,1,Vivica A. Fox,0.1038,0.040528896534495054,0.14432889653449504,0.0,1.0,1.0,1.1569532419324045e-06,4,2.044524992659272,False,optimal
3,1,Monique Coleman,0.0896,0.06712059051608057,0.15672059051608056,0.0,1.0,1.0,3.676128959904968e-05,8,2.044524992659272,False,optimal
3,1,Joey Lawrence,0.0991,0.06954078853420008,0.16864078853420006,0.0,1.0,1.0,3.3192853072043476e-05,9,2.044524992659272,False,optimal
3,1,Mario Lopez,0.1226,0.2742237812647911,0.39682378126479106,0.0,1.0,1.0,0.0007701855765460459,10,2.044524992659272,False,optimal
3,1,Emmitt Smith,0.1132,0.27422293208608584,0.3874229320860858,0.0,1.0,1.0,0.0007701903419957773,10,2.044524992659272,False,optimal
3,1,Shanna Moakler,0.0849,0.039201243867847235,0.12410124386784724,0.0,1.0,1.0,8.804644973214205e-07,2,2.044524992659272,False,optimal
3,1,Willa Ford,0.1038,0.043229526063557934,0.14702952606355793,0.0,1.0,1.0,6.950088545445545e-06,5,2.044524992659272,False,optimal
3,1,Sara Evans,0.0708,0.054558616095227906,0.12535861609522791,0.0,1.0,1.0,9.68876327057039e-06,5,2.044524992659272,False,optimal
3,1,Jerry Springer,0.0755,0.06451849168516322,0.14001849168516323,0.0,1.0,1.0,4.2660145402437515e-05,7,2.044524992659272,False,optimal
3,1,Tucker Carlson,0.0566,0.029583173252716536,0.08618317325271653,0.0,0.1252272718181818,0.1252272718181818,0.0,1,2.044524992659272,True,optimal
3,2,Harry Hamlin,0.0913,0.04453957556505448,0.1358395755650545,0.004400000999999988,0.9780999969999999,0.9736999959999999,9.662706007232874e-07,3,1.9719213750887266,False,optimal
3,2,Vivica A. Fox,0.1043,0.04157844940298776,0.14587844940298778,0.0,0.9736999959999999,0.9736999959999999,1.1569532419324045e-06,4,1.9719213750887266,False,optimal
3,2,Monique Coleman,0.113,0.06985137595902964,0.18285137595902964,0.0,0.9736999959999999,0.9736999959999999,3.676128959904968e-05,8,1.9719213750887266,False,optimal
